,feature,chi2,p
7582,don,19.36,0.0
10983,gun,12.24,0.0
7693,donald trump,15.3,0.0
2671,best,39.78,0.0
16893,muslims,26.7,0.0
16857,muslim,18.36,0.0
2989,black,13.75,0.0
13586,just,13.18,0.0
22457,sex,13.89,0.0
12605,indians,19.6,0.0
4713,clinton,12.24,0.0
21787,russia,16.32,0.0
26619,want,25.03,0.0
4305,children,12.15,0.0
16035,men,25.27,0.0
24131,support,12.24,0.0
27114,white,12.83,0.0
12530,indian,21.06,0.0
14519,liberals,25.51,0.0
25448,trump,69.67,0.0
13416,jews,20.4,0.0
20380,quora,20.14,0.0
27340,women,33.16,0.0
7692,donald,15.3,0.0
1205,americans,22.64,0.0
20520,racist,12.24,0.0
18488,people,76.92,0.0
10402,girls,21.06,0.0
10529,god,11.02,0.001
184,2018,11.76,0.001
4367,chinese,11.02,0.001
1114,america,11.02,0.001
13146,islam,11.53,0.001
13399,jewish,10.2,0.001
5641,country,10.31,0.001
18196,pakistan,11.22,0.001
17590,obama,11.53,0.001
5154,computer,11.76,0.001
6421,democrats,9.18,0.002
4496,christians,9.18,0.002
13228,israel,9.18,0.002
10136,gay,9.53,0.002
855,african,9.18,0.002
1406,anti,9.16,0.002
26082,usa,9.24,0.002
1161,american,9.16,0.002
2567,believe,9.53,0.002
19626,president,9.24,0.002
27504,work,8.7,0.003
1760,asian,8.54,0.003
5069,company,8.82,0.003
8680,evil,8.16,0.004
16472,modi,8.16,0.004
1931,atheists,8.16,0.004
12836,instead,8.16,0.004
25404,true,8.24,0.004
21111,religion,8.16,0.004
20774,realize,8.16,0.004
27766,year old,8.16,0.004
6883,difference,8.14,0.004
21994,say,8.29,0.004
8311,energy,7.84,0.005
25881,understand,7.55,0.006
13478,job,7.19,0.007
11322,hate,7.34,0.007
21513,right,7.34,0.007
23950,stupid,7.14,0.008
14225,laws,7.14,0.008
3288,boys,7.14,0.008
5042,community,7.14,0.008
18474,penis,7.14,0.008
3040,blacks,7.14,0.008
4815,cold,6.86,0.009
8333,engineering,6.86,0.009
17185,neet,6.86,0.009
8009,eat,6.56,0.01
9117,family,6.56,0.01
7460,doesn,6.45,0.011
17531,nuclear,6.12,0.013
13084,iran,6.12,0.013
16520,mom,6.12,0.013
12219,illegal,6.12,0.013
22030,saying,6.12,0.013
14281,leader,6.12,0.013
10990,gun control,6.12,0.013
9402,feminists,6.12,0.013
19994,propaganda,6.12,0.013
